Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Northern Africa and Western Asia,rural,Drinking water,2007,75.48349,129581749.78285,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2008,76.11998,132481104.66002,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2009,76.73665,135354172.75228,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2010,77.365,138228108.21137,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2011,78.01244,141282438.77444,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2012,78.67861,144400154.77222,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2013,79.34043,147445891.73931,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2014,79.99588,150465054.87335,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2015,80.64186,153344277.24682,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2016,81.28023,156322389.50624,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2017,81.91291,159295523.71853,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2018,82.5451,162252885.26337,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2019,83.1831,165223166.75857,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2020,83.79113,167911973.02353,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2021,84.224,170073494.32288,At least basic
sdg,Northern Africa and Western Asia,rural,Drinking water,2022,84.41535,171807894.74167,At least basic
sdg,Oceania,total,Drinking water,2000,51.85704,4329828.65045,At least basic
sdg,Oceania,rural,Drinking water,2000,39.4968,2511481.06484,At least basic
sdg,Oceania,total,Drinking water,2001,51.56969,4423071.23027,At least basic
sdg,Oceania,rural,Drinking water,2001,39.20893,2564669.27589,At least basic
sdg,Oceania,total,Drinking water,2002,51.28062,4515554.22315,At least basic
sdg,Oceania,rural,Drinking water,2002,38.9267,2618467.9213,At least basic
sdg,Oceania,total,Drinking water,2003,50.99784,4608945.10835,At least basic
sdg,Oceania,rural,Drinking water,2003,38.63917,2671680.21197,At least basic
sdg,Oceania,total,Drinking water,2004,50.71467,4702254.27119,At least basic
sdg,Oceania,rural,Drinking water,2004,38.34611,2724090.6729,At least basic
sdg,Oceania,total,Drinking water,2005,51.11419,4860200.23009,At least basic
sdg,Oceania,rural,Drinking water,2005,38.93736,2840515.83085,At least basic
sdg,Oceania,total,Drinking water,2006,51.52209,5022641.9914,At least basic
sdg,Oceania,rural,Drinking water,2006,39.53576,2960763.49297,At least basic
sdg,Oceania,total,Drinking water,2007,51.94577,5190172.06384,At least basic
sdg,Oceania,rural,Drinking water,2007,40.152,3085683.03307,At least basic
sdg,Oceania,total,Drinking water,2008,52.37682,5361643.94836,At least basic
sdg,Oceania,rural,Drinking water,2008,40.77425,3214203.0593,At least basic
sdg,Oceania,total,Drinking water,2009,52.81164,5537034.27933,At least basic
sdg,Oceania,rural,Drinking water,2009,41.36265,3343551.27548,At least basic
sdg,Oceania,total,Drinking water,2010,53.26271,5718954.35896,At least basic
sdg,Oceania,rural,Drinking water,2010,41.97292,3478925.70555,At least basic
sdg,Oceania,total,Drinking water,2011,53.74222,5907253.92293,At least basic
sdg,Oceania,rural,Drinking water,2011,42.60733,3619009.91897,At least basic
sdg,Oceania,total,Drinking water,2012,54.24456,6099180.54731,At least basic
sdg,Oceania,rural,Drinking water,2012,43.26033,3762046.56397,At least basic
sdg,Oceania,total,Drinking water,2013,54.77896,6296851.93575,At least basic
sdg,Oceania,rural,Drinking water,2013,43.94988,3910789.52165,At least basic
sdg,Oceania,total,Drinking water,2014,55.32858,6498450.96228,At least basic
sdg,Oceania,rural,Drinking water,2014,44.65297,4062873.57212,At least basic
sdg,Oceania,total,Drinking water,2015,55.88549,6702043.59788,At least basic
sdg,Oceania,rural,Drinking water,2015,45.36314,4217297.0121,At least basic
sdg,Oceania,total,Drinking water,2016,56.45184,6908064.06392,At least basic
sdg,Oceania,rural,Drinking water,2016,46.08251,4374215.21763,At least basic
sdg,Oceania,total,Drinking water,2017,57.03414,7118056.09287,At least basic
sdg,Oceania,rural,Drinking water,2017,46.81427,4534004.00037,At least basic
sdg,Oceania,total,Drinking water,2018,57.62801,7331390.1409,At least basic
sdg,Oceania,rural,Drinking water,2018,47.55464,4696084.59404,At least basic
sdg,Oceania,total,Drinking water,2019,58.28012,7554238.29611,At least basic
sdg,Oceania,rural,Drinking water,2019,48.3634,4866505.87019,At least basic
sdg,Oceania,total,Drinking water,2020,58.95872,7783872.82391,At least basic
sdg,Oceania,rural,Drinking water,2020,49.19409,5040191.75125,At least basic
sdg,Oceania,total,Drinking water,2021,59.69725,8023852.36024,At least basic
sdg,Oceania,rural,Drinking water,2021,49.94964,5206199.46854,At least basic
sdg,Oceania,total,Drinking water,2022,59.85092,8185123.50537,At least basic
sdg,Oceania,rural,Drinking water,2022,50.88647,5390387.53636,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2000,1.28127,247748.45422,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2001,1.28142,250345.17811,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2002,1.28085,253674.14356,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2003,1.17863,236677.90009,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2004,1.07709,219197.12439,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2005,0.97624,201398.37134,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2006,0.87586,183468.06984,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2007,0.77612,165422.90004,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2008,0.67635,146932.50341,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2009,0.57597,127492.47393,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2010,0.47493,106865.93725,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2011,0.37364,85350.88205,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2012,0.27206,63149.45729,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2013,0.25129,59301.1719,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2014,0.27194,65224.54311,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2015,0.29258,71324.65912,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2016,0.3132,77653.11574,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2017,0.33383,84217.83875,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2018,0.35445,90995.5312,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2019,0.37507,98021.23928,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2020,0.3957,104962.73407,Basic service
sdg,Australia and New Zealand,urban,Drinking water,2021,0.41632,111731.94204,Basic service
